Model,Correct,Bug Type
"model1 = Sequential()
model1.add(Conv2D(16, (3,3), activation = 'relu', kernel_initializer = 'he_uniform', input_shape = (28,28,1)))
model1.add(MaxPooling2D((2,2)))
model1.add(Conv2D(32, (3,3), activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(MaxPooling2D((2,2)))
model1.add(Flatten())
model1.add(Dense(100, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(64, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(10, activation = 'softmax'))
model1.compile(optimizer = Adam(), loss='sparse_categorical_crossentropy', metrics=['accuracy']) history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])
history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])",1,2
"model1 = Sequential()
model1.add(Conv2D(16, (3,3), activation = 'relu', kernel_initializer = 'he_uniform', input_shape = (28,28,1)))
model1.add(MaxPooling2D((2,2)))
model1.add(Conv2D(32, (3,3), activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(MaxPooling2D((2,2)))
model1.add(Flatten())
model1.add(Dense(100, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(64, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(10, activation = 'softmax'))
model1.compile(optimizer = Adam(lr=0.1), loss='categorical_crossentropy', metrics=['accuracy']) history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])
history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])",1,3
"model1 = Sequential()
model1.add(Conv2D(16, (3,3), activation = 'relu', kernel_initializer = 'he_uniform', input_shape = (28,28,1)))
model1.add(MaxPooling2D((2,2)))
model1.add(Conv2D(32, (3,3), activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(MaxPooling2D((2,2)))
model1.add(Flatten())
model1.add(Dense(100, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(64, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(10, activation = 'relu'))
model1.compile(optimizer = Adam(), loss='categorical_crossentropy', metrics=['accuracy']) history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])
history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])",1,4
"model = tf.keras.Sequential()
Dense = tf.keras.layers.Dense
Adam = tf.keras.optimizers.Adam
model.add(Dense(7, input_dim=input_length, activation='softplus'))
model.add(Dense(3, activation='softplus'))
model.add(Dense(1, activation='softplus'))
lr = .001
adam0 = Adam(lr = lr)
model.compile(loss='binary_crossentropy', optimizer=adam0, metrics=['accuracy'])
filepath = 'weights.best.hdf5'
ModelCheckpoint = tf.keras.callbacks.ModelCheckpoint
checkpoint = ModelCheckpoint(filepath, monitor='acc', verbose=1, save_best_only=True, mode='max')
callbacks_list = [checkpoint]
history_model = model.fit(X_train[:train_set_size], Y_train[:train_set_size], callbacks=callbacks_l",0,0
"model = tf.keras.Sequential()
Dense = tf.keras.layers.Dense
SGD = tf.keras.optimizers.SGD
model.add(Dense(7, input_dim=input_length, activation='softplus'))
model.add(Dense(3, activation='softplus'))
model.add(Dense(1, activation='softplus'))
lr = .001
sgd = SGD(lr = lr)
model.compile(loss='binary_crossentropy', optimizer=sgd, metrics=['accuracy'])
filepath = 'weights.best.hdf5'
ModelCheckpoint = tf.keras.callbacks.ModelCheckpoint
checkpoint = ModelCheckpoint(filepath, monitor='acc', verbose=1, save_best_only=True, mode='max')
callbacks_list = [checkpoint]
history_model = model.fit(X_train[:train_set_size], Y_train[:train_set_size], callbacks=callbacks_l",1,1
"model = tf.keras.Sequential()
Dense = tf.keras.layers.Dense
Adam = tf.keras.optimizers.Adam
model.add(Dense(7, input_dim=input_length, activation='softplus'))
model.add(Dense(3, activation='softplus'))
model.add(Dense(1, activation='softplus'))
lr = .001
adam0 = Adam(lr = lr)
model.compile(loss='categorical_crossentropy', optimizer=adam0, metrics=['accuracy'])
filepath = 'weights.best.hdf5'
ModelCheckpoint = tf.keras.callbacks.ModelCheckpoint
checkpoint = ModelCheckpoint(filepath, monitor='acc', verbose=1, save_best_only=True, mode='max')
callbacks_list = [checkpoint]
history_model = model.fit(X_train[:train_set_size], Y_train[:train_set_size], callbacks=callbacks_l",1,2
"model = tf.keras.Sequential()
Dense = tf.keras.layers.Dense
Adam = tf.keras.optimizers.Adam
model.add(Dense(7, input_dim=input_length, activation='softplus'))
model.add(Dense(3, activation='softplus'))
model.add(Dense(1, activation='softplus'))
lr = .1
adam0 = Adam(lr = lr)
model.compile(loss='binary_crossentropy', optimizer=adam0, metrics=['accuracy'])
filepath = 'weights.best.hdf5'
ModelCheckpoint = tf.keras.callbacks.ModelCheckpoint
checkpoint = ModelCheckpoint(filepath, monitor='acc', verbose=1, save_best_only=True, mode='max')
callbacks_list = [checkpoint]
history_model = model.fit(X_train[:train_set_size], Y_train[:train_set_size], callbacks=callbacks_l",1,3
"model = tf.keras.Sequential()
Dense = tf.keras.layers.Dense
Adam = tf.keras.optimizers.Adam
model.add(Dense(7, input_dim=input_length, activation='softplus'))
model.add(Dense(3, activation='softplus'))
model.add(Dense(1, activation='relu'))
lr = .001
adam0 = Adam(lr = lr)
model.compile(loss='binary_crossentropy', optimizer=adam0, metrics=['accuracy'])
filepath = 'weights.best.hdf5'
ModelCheckpoint = tf.keras.callbacks.ModelCheckpoint
checkpoint = ModelCheckpoint(filepath, monitor='acc', verbose=1, save_best_only=True, mode='max')
callbacks_list = [checkpoint]
history_model = model.fit(X_train[:train_set_size], Y_train[:train_set_size], callbacks=callbacks_l",1,4
"model = Sequential()
inputShape = (height, width, depth)
chanDim = -1
if K.image_data_format() == ""channels_first"":
    inputShape = (depth, height, width)
    chanDim = 1
model.add(Conv2D(32, (3, 3), padding=""same"",input_shape=inputShape))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(3, 3)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(1024))
model.add(Activation(""relu""))
model.add(BatchNormalization())
model.add(Dropout(0.5))
model.add(Dense(n_classes))
model.add(Activation(""softmax""))
opt = Adam(lr=INIT_LR, decay=INIT_LR / EPOCHS)
model.compile(loss=""binary_crossentropy"", optimizer=opt,metrics=[""accuracy""])
history = model.fit_generator(
    aug.flow(x_train, y_train, batch_size=BS),
    validation_data=(x_test, y_test),
    steps_per_epoch=len(x_train) // BS,
    epochs=EPOCHS, verbose=1
    )",0,0
"model = Sequential()
inputShape = (height, width, depth)
chanDim = -1
if K.image_data_format() == ""channels_first"":
    inputShape = (depth, height, width)
    chanDim = 1
model.add(Conv2D(32, (3, 3), padding=""same"",input_shape=inputShape))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(3, 3)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(1024))
model.add(Activation(""relu""))
model.add(BatchNormalization())
model.add(Dropout(0.5))
model.add(Dense(n_classes))
model.add(Activation(""softmax""))
opt = Adam(lr=INIT_LR, decay=INIT_LR / EPOCHS)
model.compile(loss=""mean_squared_error"", optimizer=opt,metrics=[""accuracy""])
history = model.fit_generator(
    aug.flow(x_train, y_train, batch_size=BS),
    validation_data=(x_test, y_test),
    steps_per_epoch=len(x_train) // BS,
    epochs=EPOCHS, verbose=1
    )",1,2
"model = Sequential()
inputShape = (height, width, depth)
chanDim = -1
if K.image_data_format() == ""channels_first"":
    inputShape = (depth, height, width)
    chanDim = 1
model.add(Conv2D(32, (3, 3), padding=""same"",input_shape=inputShape))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(3, 3)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(1024))
model.add(Activation(""relu""))
model.add(BatchNormalization())
model.add(Dropout(0.5))
model.add(Dense(n_classes))
model.add(Activation(""relu""))
opt = Adam(lr=INIT_LR, decay=INIT_LR / EPOCHS)
model.compile(loss=""binary_crossentropy"", optimizer=opt,metrics=[""accuracy""])
history = model.fit_generator(
    aug.flow(x_train, y_train, batch_size=BS),
    validation_data=(x_test, y_test),
    steps_per_epoch=len(x_train) // BS,
    epochs=EPOCHS, verbose=1
    )",1,4
"model = Sequential()
model.add(Conv2D(75 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu' , input_shape = (28,28,1)))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(50 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(Dropout(0.2))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(25 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Flatten())
model.add(Dense(units = 512 , activation = 'relu'))
model.add(Dropout(0.3))
model.add(Dense(units = 24 , activation = 'softmax'))
model.compile(optimizer = 'adam' , loss = 'categorical_crossentropy' , metrics = ['accuracy'])
model.summary()",0,0
"model = Sequential()
model.add(Conv2D(75 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu' , input_shape = (28,28,1)))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(50 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(Dropout(0.2))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(25 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Flatten())
model.add(Dense(units = 512 , activation = 'relu'))
model.add(Dropout(0.3))
model.add(Dense(units = 24 , activation = 'softmax'))
model.compile(optimizer = 'adam' , loss = 'sparse_categorical_crossentropy' , metrics = ['accuracy'])
model.summary()",1,2
"model = Sequential()
model.add(Conv2D(75 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu' , input_shape = (28,28,1)))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(50 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(Dropout(0.2))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(25 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Flatten())
model.add(Dense(units = 512 , activation = 'relu'))
model.add(Dropout(0.3))
model.add(Dense(units = 24 , activation = 'relu'))
model.compile(optimizer = 'adam' , loss = 'sparse_categorical_crossentropy' , metrics = ['accuracy'])
model.summary()",1,4
"model = Sequential()​
model.add(Conv2D(32, kernel_size=(2, 2), input_shape=(128, 128, 3), padding = 'Same'))
model.add(Conv2D(32, kernel_size=(2, 2),  activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))​
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2,2), strides=(2,2)))
model.add(Dropout(0.25))​
model.add(Flatten())​
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(2, activation='softmax'))
model.compile(loss = ""categorical_crossentropy"", optimizer='Adamax')
print(model.summary())
history = model.fit(x_train, y_train, epochs = 30, batch_size = 40, verbose = 1,validation_data = (x_test, y_test))",0,0
"model = Sequential()​
model.add(Conv2D(32, kernel_size=(2, 2), input_shape=(128, 128, 3), padding = 'Same'))
model.add(Conv2D(32, kernel_size=(2, 2),  activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))​
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2,2), strides=(2,2)))
model.add(Dropout(0.25))​
model.add(Flatten())​
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(2, activation='softmax'))
model.compile(loss = ""sparse_categorical_crossentropy"", optimizer='Adamax')
print(model.summary())
history = model.fit(x_train, y_train, epochs = 30, batch_size = 40, verbose = 1,validation_data = (x_test, y_test))",1,2
"model = Sequential()​
model.add(Conv2D(32, kernel_size=(2, 2), input_shape=(128, 128, 3), padding = 'Same'))
model.add(Conv2D(32, kernel_size=(2, 2),  activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))​
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2,2), strides=(2,2)))
model.add(Dropout(0.25))​
model.add(Flatten())​
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(2, activation='softmax'))
optimizer = Adamax(lr=1.0)
model.compile(loss = ""categorical_crossentropy"", optimizer=optimizer)
print(model.summary())
history = model.fit(x_train, y_train, epochs = 30, batch_size = 40, verbose = 1,validation_data = (x_test, y_test))",1,3
"model = Sequential()​
model.add(Conv2D(32, kernel_size=(2, 2), input_shape=(128, 128, 3), padding = 'Same'))
model.add(Conv2D(32, kernel_size=(2, 2),  activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))​
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2,2), strides=(2,2)))
model.add(Dropout(0.25))​
model.add(Flatten())​
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(2, activation='relu'))
model.compile(loss = ""categorical_crossentropy"", optimizer=""Adamax"")
print(model.summary())
history = model.fit(x_train, y_train, epochs = 30, batch_size = 40, verbose = 1,validation_data = (x_test, y_test))",1,4
"model = Sequential()
model.add(Embedding(nb_words, embed_dim,
          weights=[embedding_matrix], input_length=max_seq_len, trainable=False))
model.add(Conv1D(num_filters, 7, activation='relu', padding='same'))
model.add(MaxPooling1D(2))
model.add(Conv1D(num_filters, 7, activation='relu', padding='same'))
model.add(GlobalMaxPooling1D())
model.add(Dropout(0.5))
model.add(Dense(32, activation='relu', kernel_regularizer=regularizers.l2(weight_decay)))
model.add(Dense(num_classes, activation='sigmoid'))  #multi-label (k-hot encoding)

adam = optimizers.Adam(lr=0.001, beta_1=0.9, beta_2=0.999, epsilon=1e-08, decay=0.0)
model.compile(loss='binary_crossentropy', optimizer=adam, metrics=['accuracy'])
model.summary()
early_stopping = EarlyStopping(monitor='val_loss', min_delta=0.01, patience=4, verbose=1)
callbacks_list = [early_stopping]
#model training
hist = model.fit(word_seq_train, y_train, batch_size=batch_size, epochs=num_epochs, callbacks=callbacks_list, validation_split=0.1, shuffle=True, verbose=2)",0,0
"model = Sequential()
model.add(Embedding(nb_words, embed_dim,
          weights=[embedding_matrix], input_length=max_seq_len, trainable=False))
model.add(Conv1D(num_filters, 7, activation='relu', padding='same'))
model.add(MaxPooling1D(2))
model.add(Conv1D(num_filters, 7, activation='relu', padding='same'))
model.add(GlobalMaxPooling1D())
model.add(Dropout(0.5))
model.add(Dense(32, activation='relu', kernel_regularizer=regularizers.l2(weight_decay)))
model.add(Dense(num_classes, activation='sigmoid'))  #multi-label (k-hot encoding)

adam = optimizers.Adam(lr=1.0, beta_1=0.9, beta_2=0.999, epsilon=1e-08, decay=0.0)
model.compile(loss='binary_crossentropy', optimizer=adam, metrics=['accuracy'])
model.summary()
early_stopping = EarlyStopping(monitor='val_loss', min_delta=0.01, patience=4, verbose=1)
callbacks_list = [early_stopping]
#model training
hist = model.fit(word_seq_train, y_train, batch_size=batch_size, epochs=num_epochs, callbacks=callbacks_list, validation_split=0.1, shuffle=True, verbose=2)",1,3
