Correct Model ,Source,SGD (1),Adam (2),RMSprop (3),Adagrad (4),Adadelta (5),Nadam (6),Adamax (7),Adagradd (8),MSE (9),MAE (10),CCE (11),BCE (12),SCE (13),0.0001 (14),0.01 (15),0.1 (16),1.0 (17),ReLU (18),sigmoid (19),Tanh (20),Elu (21) ,Gelu (22),Swish (23),Softmax (24)
https://www.kaggle.com/code/emmarex/plant-disease-detection-using-keras,"model = Sequential()
inputShape = (height, width, depth)
chanDim = -1
if K.image_data_format() == ""channels_first"":
    inputShape = (depth, height, width)
    chanDim = 1
model.add(Conv2D(32, (3, 3), padding=""same"",input_shape=inputShape))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(3, 3)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(64, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(Conv2D(128, (3, 3), padding=""same""))
model.add(Activation(""relu""))
model.add(BatchNormalization(axis=chanDim))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(1024))
model.add(Activation(""relu""))
model.add(BatchNormalization())
model.add(Dropout(0.5))
model.add(Dense(n_classes))
model.add(Activation(""softmax""))
opt = Adam(lr=INIT_LR, decay=INIT_LR / EPOCHS)
# distribution
model.compile(loss=""binary_crossentropy"", optimizer=opt,metrics=[""accuracy""])
# train the network
print(""[INFO] training network..."")",0,0,0,,,,,,9,,0,0,13,0,0,0,,0,19,0,,,,
https://www.kaggle.com/code/adinishad/driver-drowsiness-using-keras,won't run,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/madz2000/cnn-using-keras-100-accuracy,"model = Sequential()
model.add(Conv2D(75 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu' , input_shape = (28,28,1)))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(50 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(Dropout(0.2))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Conv2D(25 , (3,3) , strides = 1 , padding = 'same' , activation = 'relu'))
model.add(BatchNormalization())
model.add(MaxPool2D((2,2) , strides = 2 , padding = 'same'))
model.add(Flatten())
model.add(Dense(units = 512 , activation = 'relu'))
model.add(Dropout(0.3))
model.add(Dense(units = 24 , activation = 'softmax'))
model.compile(optimizer = 'adam' , loss = 'categorical_crossentropy' , metrics = ['accuracy'])
model.summary()",0,0,0,,,,,,0,0,0,0,13,,,,,0,0,0,,,,
https://www.kaggle.com/code/akshitmadan/tumor-classification-using-keras-for-beginners,"
model = Sequential()
​
model.add(Conv2D(32, kernel_size=(2, 2), input_shape=(128, 128, 3), padding = 'Same'))
model.add(Conv2D(32, kernel_size=(2, 2),  activation ='relu', padding = 'Same'))
​
​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
​
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))
model.add(Conv2D(64, kernel_size = (2,2), activation ='relu', padding = 'Same'))
​
model.add(BatchNormalization())
model.add(MaxPooling2D(pool_size=(2,2), strides=(2,2)))
model.add(Dropout(0.25))
​
model.add(Flatten())
​
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(2, activation='softmax'))
model.compile(loss = ""categorical_crossentropy"", optimizer='Adamax')
print(model.summary())",0,0,0,,,,,,0,0,0,0,13,,,,,,,,,,,
https://www.kaggle.com/code/vsmolyakov/keras-cnn-with-fasttext-embeddings,Kaggle,,,,,,,,,,,,,,,,,17,,19,,,,,
https://www.kaggle.com/code/bavalpreet26/cnn-tutorial-keras-nb2,Kaggle,To-do later ,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/bulentsiyah/mnist-for-beginners-tensorflow-dnn-cnn-keras,"model = Sequential()

model.add(Conv2D(32, kernel_size=(3, 3),padding='same',activation='relu',input_shape=input_shape))
model.add(Conv2D(32,kernel_size=(3, 3), activation='relu'))
model.add(MaxPool2D((2, 2)))
model.add(Dropout(0.25))

model.add(Conv2D(64,kernel_size=(3, 3),padding='same', activation='relu'))
model.add(Conv2D(64,kernel_size=(3, 3),activation='relu'))
model.add(MaxPool2D((2, 2)))
model.add(Dropout(0.25))

model.add(Flatten())
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(10, activation = ""softmax""))
model.compile(loss=keras.losses.categorical_crossentropy,
              optimizer=adam,
              metrics=['accuracy', recall])",0,0,0,,,,,,0,0,0,0,13,,,,17,,,,,,,
https://www.kaggle.com/code/cokastefan/keras-resnet-50,Kaggle,error,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/sanwal092/intro-to-cnn-using-keras-to-predict-pneumonia,Kaggle,0,0,0,,,,,,0,0,11,0,,,,,17,,,20,,,,
https://www.kaggle.com/code/sumanismcse/plant-disease-detection-using-keras,Kaggle,error,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/kageyama/keras-hand-gesture-recognition-cnn,Kaggle,too large,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/amarjeet007/visualize-cnn-with-keras,"inputShape=(28,28,1)
input = Input(inputShape)

x = Conv2D(64,(3,3),strides = (1,1),name='layer_conv1',padding='same')(input)
x = BatchNormalization()(x)
x = Activation('relu')(x)
x = MaxPooling2D((2,2),name='maxPool1')(x)



x = Conv2D(64,(3,3),strides = (1,1),name='layer_conv2',padding='same')(x)
x = BatchNormalization()(x)
x = Activation('relu')(x)
x = MaxPooling2D((2,2),name='maxPool2')(x)

x = Conv2D(32,(3,3),strides = (1,1),name='conv3',padding='same')(x)
x = BatchNormalization()(x)
x = Activation('relu')(x)
x = MaxPooling2D((2,2),name='maxPool3')(x)


x = Flatten()(x)
x = Dense(64,activation = 'relu',name='fc0')(x)
x = Dropout(0.25)(x)
x = Dense(32,activation = 'relu',name='fc1')(x)
x = Dropout(0.25)(x)
x = Dense(10,activation = 'softmax',name='fc2')(x)

model = Model(inputs = input,outputs = x,name='Predict') momentum = 0.5
sgd = SGD(lr=0.01, momentum=momentum, decay=0.0, nesterov=False) 

# compile the model
model.compile(loss='categorical_crossentropy',optimizer=sgd, metrics=['accuracy'])",0,2,0,,,,,,0,0,0,0,13,,0,0,17,18,0,0,,,,
https://kaggle.com/code/twhitehurst3/stanford-dogs-keras-vgg16,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/prashant111/keras-basics-for-beginners,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/gimunu/data-augmentation-with-keras-into-cnn,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/andreykorzhun/keras,"model_keras = Sequential()
model_keras.add(Dense(256, activation='sigmoid', input_dim=231))
model_keras.add(Dense(1024, activation='sigmoid'))
model_keras.add(Dense(128, activation='sigmoid'))
model_keras.add(Dense(1, activation='sigmoid'))

# Compile the model_keras
model_keras.compile(optimizer='adam', 
              loss='binary_crossentropy', 
              metrics=[tf.keras.metrics.AUC()])
model_keras.fit(X, y, epochs=20)

y_pred = model_keras.predict(test_df)",1,0,,,,,,,0,10,,,,0,15,,,18,0,,,,,
https://www.kaggle.com/code/bustam/cnn-in-keras-for-kannada-digits,to do,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/vbookshelf/a-simple-keras-solution,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/dawgwelder/keras-cnn-build,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/quadeer15sh/tf-keras-cnn-99-accuracy,"Ground Truth 
model = Sequential()
model.add(Conv2D(32, (3,3), input_shape=(150,150,3), activation='relu'))
model.add(MaxPooling2D(2,2))
model.add(Conv2D(32, (3, 3), activation = 'relu'))
model.add(MaxPooling2D(2, 2))
model.add(Flatten())
model.add(Dense(units=512, activation='relu'))
model.add(Dense(units=3, activation='softmax'))
model.compile(optimizer = tf.keras.optimizers.Adam(lr = 0.001), loss = 'categorical_crossentropy', metrics=['accuracy'])",0,0,0,,,,,,9,,0,,,,15,,,,19,,,,,
https://www.kaggle.com/code/jrreda/simple-mlp-digit-recognizer-with-keras-97,"Ground Truth 
model = keras.Sequential([
    # The model
    layers.Dense(516, activation = 'relu'),
    layers.Dropout(0.7),
    layers.Dense(1024, activation = 'relu'),
    layers.Dropout(0.1),
    layers.Dense(10, activation = 'softmax')
])
# compiling the sequential model
model.compile(optimizer = 'Adam',
              loss = 'categorical_crossentropy',
              metrics = ['categorical_accuracy'])
              # train the model
training = model.fit(
    X_train, y_train,
    validation_data = (X_val, y_val),
    batch_size = 128,
    epochs = 25,
    callbacks = [early_stopping],
    verbose = 0
)",0,0,0,,,,,,,,,12,,,,16,,,19,,,,,
https://www.kaggle.com/code/akshitmadan/emotion-classification-cnn-using-keras,Kaggle,error,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/ekaterinadranitsyna/pretrained-feature-model-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/CVxTz/keras-simple-cnn-starter,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/shtrausslearning/hummingbird-classification-keras-cnn-models,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/somshubramajumdar/deep-convolutional-network-using-keras,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/dimitriosroussis/svhn-classification-with-cnn-keras-96-acc,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/christianlillelund/classify-mnist-audio-using-spectrograms-keras-cnn,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/cstahl12/titanic-with-keras,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/diegosiebra/neural-network-model-for-house-prices-keras,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/serkanpeldek/keras-cnn-transfer-learnings-on-cats-dogs-dataset,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/irrwitz/cnn-with-keras,Kaggle,error,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/ashwani07/emnist-using-keras-cnn,"Ground Truth 
# Building model
# ((Si - Fi + 2P)/S) + 1
model = Sequential()

model.add(Conv2D(filters=128, kernel_size=(5,5), padding = 'same', activation='relu',\
                 input_shape=(HEIGHT, WIDTH,1)))
model.add(MaxPooling2D(pool_size=(2,2), strides=(2,2)))
model.add(Conv2D(filters=64, kernel_size=(3,3) , padding = 'same', activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))

model.add(Flatten())
model.add(Dense(units=128, activation='relu'))
model.add(Dropout(.5))
model.add(Dense(units=num_classes, activation='softmax'))

model.summary()
model.compile(loss='categorical_crossentropy', optimizer='adam', metrics=['accuracy'])",0,0,0,,,,,,0,0,0,0,13,0,0,16,,,19,,,,,
https://www.kaggle.com/code/frlemarchand/simple-cnn-using-keras,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/alisultanov/cat-vs-dog-using-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/sdelecourt/cnn-with-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/franklemuchahary/basic-cnn-keras-with-cross-validation,"model = Sequential()
    for i in range(1, num_cnn_layers+1):
        if i == 1:
            model.add(Conv2D(NUM_FILTERS*i, KERNEL, input_shape=size, activation='relu', padding='same'))
        else:
            model.add(Conv2D(NUM_FILTERS*i, KERNEL, activation='relu', padding='same'))
    model.add(MaxPooling2D(pool_size=(2,2)))
    model.add(Flatten())
    model.add(Dense(int(MAX_NEURONS), activation='relu'))
    model.add(Dropout(0.25))
    model.add(Dense(int(MAX_NEURONS/2), activation='relu'))
    model.add(Dense(10, activation='softmax'))
    model.compile(loss='categorical_crossentropy', optimizer='sgd', metrics=['accuracy'])",1,0,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/danielelton/keras-cnn-with-explanation,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/maksymshkliarevskyi/cassava-leaf-disease-keras-cnn-baseline,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/fchollet/keras-deep-net-starter-code,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/gpreda/tensorflow-keras-gpu-for-chinese-mnist-prediction,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/prashant111/comprehensive-guide-to-cnn-with-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/xingyuyang/cnn-with-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/dimitreoliveira/taxi-fare-prediction-with-keras-deep-learning,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/curiousprogrammer/lenet-5-cnn-with-keras-99-48,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/michalbrezk/x-ray-pneumonia-cnn-tensorflow-2-0-keras-94,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/nightwolfbrooks/data-augmentation-and-keras-cnn,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/jeongbinpark/dnn-by-keras,"model = models.Sequential()
model.add(layers.Dense(100, input_shape=X_train[1].shape, activation='relu', name=""Hidden-1""))
model.add(layers.Dropout(0))
model.add(layers.Dense(50, activation='relu',name='Hidden-2'))
model.add(layers.Dropout(0))
model.add(layers.Dense(10, activation='softmax'))
model.compile(loss='categorical_crossentropy', optimizer='adam', metrics=['accuracy'])",0,0,0,,5,,,,0,10,0,0,error,,,,17,18,,,,,,
https://www.kaggle.com/code/hikmatullahmohammadi/reservation-cancellation-simple-dnn-tf-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/ashwinsankaralingam/keras-dnn,Kaggle,-,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/dakshmiglani/credit-card-fraudulent-detection-with-dnn-keras,Kaggle,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,,,
https://www.kaggle.com/code/mehdimka/localization-in-waldo-library-using-keras-dnn,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/artemsolomko/digits-recognition-with-keras-cnn-and-dnn-on-tfv1,Kaggle,-,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/sangwookchn/convolutional-neural-networks-cnn-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/ironfrown/deep-learning-house-price-prediction-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/loveunk/kaggle-digit-recognizer-keras-cnn-100-accuracy,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/hikmatullahmohammadi/wine-quality-tf-keras-dnn-eda-ps-s3-ep5,"Ground Truth 
def build_model(input_shape, num_classes):
    # input layer
    inputs =  keras.Input(shape=input_shape)
    
    # hidden layers
    x = layers.Dense(1024, activation='relu')(inputs)
    x = layers.Dropout(.5)(x)
    
    x = layers.Dense(2048, activation='relu')(x)
    x = layers.Dropout(.5)(x)
    
    x = layers.Dense(1024, activation='relu')(x)
    x = layers.Dropout(.4)(x)
    
    x = layers.Dense(512, activation='relu')(x)
    x = layers.Dropout(.3)(x)
    
    x = layers.Dense(256, activation='relu')(x)
    x = layers.Dropout(.2)(x)
    
    x = layers.Dense(128, activation='relu')(x)
    x = layers.Dense(64, activation='relu')(x)
    x = layers.Dense(32, activation='relu')(x)
    x = layers.Dense(16, activation='relu')(x)
    
    # output layer
    outputs = layers.Dense(num_classes, activation='softmax')(x)
    
    return keras.Model(inputs, outputs)

model = build_model(input_shape=(None, 11), num_classes=6)
model.summary()
model.compile(
    optimizer='Adam',
    loss='sparse_categorical_crossentropy',
    metrics=['accuracy']
)

EPOCHS = 100

history = model.fit(training_batches, validation_data=val_batches, epochs=EPOCHS, verbose=1)",0,0,0,,,,,,9,,,,,0,0,16,,0,19,0,,,,
https://www.kaggle.com/code/riyaelizashaju/inter-feature-engineering-tensorflow-keras-dnn,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/nithinthuruthipally/handwritting-using-dnn-cnn-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/wonchanleee/simple-dnn,Kaggle,-,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/amanvishnani/titanic-dnn-using-keras,"Ground Truth 
 model = Sequential();
    model.add(Dense(16, input_shape=(7,), activation='relu'))
    model.add(Dense(20, activation='relu'))
    model.add(Dense(32, activation='relu'))
    model.add(Dense(20, activation='relu'))
    model.add(Dense(1, activation='sigmoid'))
    return model",1,0,,,,,,,,10,,,,0,0,16,,0,0,0,,,,
https://www.kaggle.com/code/stefanbergstein/keras-deep-learning-on-titanic-data,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/lonnieqin/ubiquant-market-prediction-with-dnn,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/rafaelpleite/titanic-analysis-and-predict,too large,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/franciscofeng/multilabel-multiclass-dnn-prediction-v2,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/yeonseokcho/practice-dnn-cnn-with-fashion-mnist-data,"model_1 = keras.models.Sequential([
    keras.layers.Flatten(input_shape=[28, 28]), 
    keras.layers.Dense(300, activation=""relu""), 
    keras.layers.Dense(200, activation=""relu""), 
    keras.layers.Dense(10, activation=""softmax"")])

model_1.summary()
model_1.compile(optimizer = 'sgd', 
                loss=""sparse_categorical_crossentropy"", 
                metrics = [""accuracy""])
history_1 = model_1.fit(X_train, y_train, epochs=20)",,,,,5,,,,9,,,,0,14,,,,,,20,,,,
https://www.kaggle.com/code/lovroselic/titanic-ls-take-2,error,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/himanshurawlani/a-cnn-lstm-model,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/varunkashyapks/deep-learning-object-detection,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/kevinputrasantoso/car-acceptability-classification-with-dnn-99-42,"Ground Truth 
model = keras.Sequential([
    layers.Dense(64, activation='relu', input_shape=[X_train.shape[1]]),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(4, activation='softmax')
])

model.compile(
    loss='categorical_crossentropy',
    optimizer='adam',
    metrics=['accuracy'] 
)",1,0,,,,,,,0,10,,,,0,0,16,,0,0,0,,,,
https://www.kaggle.com/code/muskan2006/credit-card-fraud-detection-dnn-and-smote,Kaggle,0,0,0,,,,,,,,11,,,,,,,0,0,0,,,,
https://www.kaggle.com/code/hemanthpingali/cifar-10-cnn-and-dnn-for-beginners,error,-,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/nimapourmoradi/rice-classification-by-tensorflow,Kaggle,large,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/dinamasri2020/multi-class-image-classification-cnn,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/shayarawara/prediction-using-logistic-and-keras-dnn,"model=Sequential()
model.add(Dense(9,input_shape=[scaledtrainfeatures.shape[1]],activation='relu'))
model.add(Dense(6,activation='relu'))
model.add(Dense(3,activation='relu'))
model.add(Dense(1,activation='sigmoid')) model.compile(loss='binary_crossentropy',optimizer='adam',metrics='accuracy')
model.fit(x=scaledtrainfeatures,y=trainlabel,epochs=100,verbose=1)",0,0,0,,,,,,,,11,,,14,,,,0,0,0,,,,24
https://www.kaggle.com/code/deepu1109/star-classifier-using-deep-neural-network,Kaggle,error!,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/aswinjose/dnn-incremental-learning-for-binary-cl-using-keras,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/adizafar/predictions-using-ml-and-dl-methods,Kaggle,too large,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/adhishthite/pima-dataset-prediction-model-with-keras-80,"Ground Truth 
# Create Keras DNN Model

model = models.Sequential()

# Hyperparameters
hold_prob = 0.01
beta = 1e-8
alpha = 0.05
lr_decay = 0.01
iterations = 400
validation_split = 0.5
opt_momentum = 0.9 # (Use only for SGD)
batch_size = 32

# Optimizer
opt = optimizers.SGD(lr=alpha, decay=lr_decay, momentum=opt_momentum, nesterov=True)

# First Layer
model.add(layers.Dense(input_dim=8, units=8, activation='relu'))

# Hidden Layers
model.add(layers.Dense(units=8, activation='relu', kernel_regularizer=keras.regularizers.l2(beta)))
model.add(layers.Dropout(hold_prob))

model.add(layers.Dense(units=8, activation='relu', kernel_regularizer=keras.regularizers.l2(beta)))
model.add(layers.Dropout(hold_prob))

model.add(layers.Dense(units=8, activation='relu', kernel_regularizer=keras.regularizers.l2(beta)))
model.add(layers.Dropout(hold_prob))

# Output Layer
model.add(layers.Dense(units=2, activation='softmax'))

# Compiling the Model
model.compile(optimizer=opt, loss='sparse_categorical_crossentropy', metrics=['accuracy'])

# Train
model.fit(x=scaled_x_train, y=y_train, epochs=iterations, validation_split=validation_split, batch_size=batch_size)",0,runtime error,runtime error,,,,,,runtime error,runtime error,runtime error,runtime error,0,,,,17,0,19,,,,,
